Colonna_1,Colonna_2,Colonna_3,Colonna_4
9,27,62,50
1,2,45,19
70,12,31,60
79,83,60,15
86,38,91,95
19,96,57,37
91,80,65,7
40,74,19,96
58,94,11,91
84,96,37,84
8,98,30,16
77,42,1,27
45,57,17,18
44,65,21,12
84,79,73,91
79,53,97,60
68,68,76,77
2,7,48,89
20,86,78,23
45,18,56,2
100,64,66,36
0,89,60,94
39,99,58,26
24,84,84,18
34,37,100,63
40,30,52,38
4,61,12,70
38,65,86,37
35,59,4,52
65,67,7,31
76,97,62,46
20,91,70,34
42,30,4,64
37,49,74,19
95,70,71,96
2,69,33,42
34,36,50,35
83,2,67,10
52,15,60,78
88,54,67,39
59,99,70,64
49,44,83,69
13,0,100,73
69,34,91,67
36,46,24,55
64,87,32,49
59,3,18,90
70,5,28,87
96,23,75,68
16,10,12,79
10,32,78,31
82,61,39,90
11,77,67,85
20,8,39,74
41,85,90,3
1,19,100,70
71,82,88,6
52,42,39,93
66,17,52,17
18,92,73,41
23,68,97,70
12,96,4,30
18,5,41,90
26,72,27,29
88,75,55,26
90,18,17,57
2,85,97,80
85,29,16,15
86,38,17,49
13,59,47,51
16,62,24,8
97,61,53,14
97,19,35,65
81,44,74,20
13,44,23,64
7,11,91,82
70,14,82,100
76,46,34,78
59,61,45,66
61,20,57,88
0,81,71,23
73,92,20,55
76,41,86,46
69,14,30,97
95,31,54,30
2,47,78,37
96,55,39,32
36,28,70,75
91,9,29,90
6,74,84,19
53,11,60,100
14,87,54,76
31,33,30,68
32,11,68,81
48,6,59,29
32,9,24,68
84,0,73,83
56,31,100,21
16,56,37,76
2,3,8,51
57,98,83,19
18,28,65,96
16,54,56,25
96,80,26,16
43,62,82,54
77,37,17,9
3,35,56,78
60,2,26,4
95,4,66,32
7,4,97,97
39,87,56,14
5,27,60,29
57,45,73,53
44,45,7,98
14,46,29,45
17,20,17,21
4,75,7,14
55,87,0,22
23,39,64,62
12,49,31,5
8,66,79,73
97,90,29,30
21,16,59,87
0,26,12,35
7,80,22,35
38,4,61,19
80,2,60,97
56,11,43,79
54,81,25,1
53,78,29,7
64,85,77,65
84,31,73,50
46,24,30,53
78,26,71,25
99,62,75,23
59,48,23,61
7,14,57,44
53,23,14,64
8,33,67,20
67,3,96,17
13,65,67,65
52,76,30,33
57,57,19,16
46,71,16,11
79,81,80,53
47,30,28,12
60,6,32,49
91,20,1,17
75,37,11,38
59,81,94,31
43,82,69,65
6,98,62,53
48,31,60,87
84,72,66,25
88,2,10,39
39,57,97,28
2,49,36,68
35,34,3,55
39,79,77,11
98,98,70,78
63,53,39,14
94,4,100,48
37,63,82,42
26,58,29,25
24,34,17,7
87,22,32,49
53,96,54,40
47,93,87,65
50,85,78,17
40,41,63,32
67,35,12,23
19,67,35,77
51,29,40,38
81,51,61,22
24,55,76,10
68,2,79,76
40,4,1,85
41,23,18,64
18,66,89,77
50,60,67,74
27,21,79,64
15,96,5,52
17,32,27,41
41,37,58,74
93,52,21,51
67,70,100,76
36,30,9,38
63,33,99,53
28,25,97,30
5,89,44,43
46,18,37,72
55,49,46,86
47,85,47,80
76,37,99,12
94,26,82,100
7,62,100,23
63,8,99,94
89,23,70,79
39,91,82,6
29,81,42,55
